,All fuels,coal,petroleum liquids,petroleum coke,natural gas,other gases,nuclear,conventional hydroelectric,other renewables,other,,
2001,3736644,1903956,114647,10233,639129,9039,768826,216961,70769,11906,,3745466
2002,3858452,1933130,78701,15867,691006,11463,780064,264329,79109,13527,,
2003,3883185,1973737,102734,16672,649908,15600,763733,275806,79487,14045,,
2004,3970555,1978301,100391,20754,710100,15252,788528,268417,83067,14232,,
2005,4055423,2012873,99840,22385,760960,13464,781986,270321,87329,12821,,
2006,4064702,1990511,44460,19706,816441,14177,787219,289246,96525,12974,,
2007,4156745,2016456,49505,16234,896590,13453,806425,247510,105238,12231,,
2008,4119388,1985801,31917,14325,882981,11707,806208,254831,126101,11804,,
2009,3950331,1755904,25972,12964,920979,10632,798855,273445,144279,11928,,
2010,4125060,1847290,23337,13724,987697,11313,806968,260203,167173,12855,,
2011,4100141,1733430,16086,14096,1013689,11566,790204,319355,193981,14154,,
2012,4047765,1514043,13403,9787,1225894,11898,769331,276240,218333,13787,,
2013,4071027,1584194,13645,13425,1125691,12876,789016,268548,254673,13639,,
2014,4092935,1585697,18708,11781,1121928,11578,797067,258749,281060,12576,,4099144
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,coal,petroleum liquids,petroleum coke,natural gas,other gases,nuclear,conventional hydroelectric,other renewables,other,,
2001,,50.83362124,3.060954231,0.27321033,17.0640716,0.241331786,20.52684499,5.792630343,1.889457814,0.317877669,,100
2014,,38.68361297,0.456387968,0.287401467,27.36981184,0.282449214,19.44471821,6.312269098,6.856553466,0.30679576,,100
